"Day","Sales","Trading Profit","Operating Expense","Net Profit"
31,12151374,3483704,3696262,-212558
32,12273124,3068107,3776694,-708587
33,13005309,2799479,3913505,-1114026
34,14625053,4185247,4006586,178661
35,15959666,5240783,4045042,1195741
36,16082569,4838331,4120001,718330
37,17011579,5723326,4176253,1547073
38,17471826,6133313,4230832,1902481
39,17594708,5864674,4336546,1528128
40,18784704,6940120,4405288,2534832
41,19008898,7111367,4445398,2665969
42,19133030,7183666,4487999,2695667
43,19330156,6182259,4603054,1579205
44,19767855,6480031,4643045,1836986
45,20106018,6169520,4758332,1411188
46,21749117,7759654,4799053,2960601
47,22677980,8591186,4856412,3734774
48,22829013,8687968,4897321,3790647
49,22956295,8761773,4937877,3823896
50,23133672,8886933,4989470,3897463
51,23305178,8999058,5032186,3966872
52,23947897,9141501,5094113,4047388
53,24571930,9475609,5136081,4339528
54,25077688,9719397,5178469,4540928
55,25199164,9623971,5237410,4386561
56,25612059,9977670,5285916,4691754
57,25907772,9672173,5360247,4311926
58,26035758,9692028,5408963,4283065
59,26180812,9051729,5499058,3552671
60,27210350,8675930,5641902,3034028
