"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,211320,-211320
3,34307,17179,346777,-329598
4,137687,-26926,391118,-418044
5,242942,25723,436905,-411182
6,351604,81185,482295,-400083
7,544531,-447188,616664,-1062825
8,1387536,306144,691150,-385006
9,1494671,-322268,843133,-1165401
10,2917878,1027285,871954,155331
11,3042285,1093735,901059,192676
12,3142971,1132570,934800,197770
13,3262851,-328403,1117555,-1445958
14,4480495,785778,1152390,-366612
15,4613209,860792,1184981,-324189
16,6001581,2191246,1293234,898012
17,6298343,1612658,1451714,160944
18,8030587,3268618,1495979,1772639
19,8148028,3303338,1534007,1769331
20,8261703,3363277,1569842,1793435
21,8404396,2709927,1717787,992140
22,9642365,3893556,1765424,2128132
23,9755390,3172968,2457061,715907
24,10764385,4135954,2536589,1599365
25,10891634,3587647,3081440,506207
26,11036994,3453012,3145343,307669
27,11157813,3525882,3184720,341162
28,11294665,3563357,3222714,340643
29,11496348,3436962,3559427,-122465
30,11946973,3823032,3617094,205938
